Contract Name	Last Trade Date (EST)	Strike	Last Price	Bid	Ask	Change	% Change	Volume	Open Interest	Implied Volatility
SPY251117C00689000	11/14/2025 4:06 PM	689	0.02	0.01	0.02	-0.09	-81.82%	2,569	2,693	11.52%
SPY251117C00690000	11/14/2025 4:14 PM	690	0.02	0.01	0.02	-0.05	-71.43%	4,218	6,613	12.11%
SPY251117C00691000	11/14/2025 3:48 PM	691	0.01	0.01	0.02	-0.05	-83.33%	1,530	2,185	12.70%
SPY251117C00692000	11/14/2025 4:11 PM	692	0.02	0.01	0.02	-0.02	-50.00%	835	3,273	13.28%
SPY251117C00693000	11/14/2025 4:12 PM	693	0.01	0.01	0.02	-0.03	-75.00%	199	1,002	13.87%
SPY251117C00694000	11/14/2025 4:13 PM	694	0.01	0.00	0.01	-0.01	-50.00%	867	1,762	13.28%
SPY251117C00695000	11/14/2025 4:02 PM	695	0.01	0.00	0.01	-0.01	-50.00%	455	6,555	14.06%
SPY251117C00696000	11/14/2025 4:00 PM	696	0.01	0.00	0.01	-0.01	-50.00%	999	1,313	14.45%
SPY251117C00697000	11/14/2025 3:08 PM	697	0.01	0.00	0.01	-0.02	-66.67%	51	1,901	14.84%
SPY251117C00698000	11/14/2025 3:51 PM	698	0.01	0.00	0.01	-0.01	-50.00%	290	1,293	15.63%
SPY251117C00699000	11/14/2025 3:50 PM	699	0.01	0.00	0.01	-0.01	-50.00%	176	1,062	16.02%
SPY251117C00700000	11/14/2025 3:50 PM	700	0.01	0.00	0.01	0.00	0.00%	2,071	7,447	16.41%
SPY251117C00701000	11/14/2025 1:38 PM	701	0.01	0.00	0.01	0.00	0.00%	202	292	17.19%
SPY251117C00702000	11/14/2025 12:41 PM	702	0.01	0.00	0.01	0.00	0.00%	117	3,264	17.58%
SPY251117C00703000	11/14/2025 2:47 PM	703	0.01	0.00	0.01	-0.01	-50.00%	170	314	17.97%
SPY251117C00704000	11/14/2025 12:40 PM	704	0.01	0.00	0.01	0.00	0.00%	317	1,259	18.75%
SPY251117C00705000	11/14/2025 3:40 PM	705	0.01	0.00	0.01	0.00	0.00%	273	461	19.14%
SPY251117C00706000	11/14/2025 3:39 PM	706	0.01	0.00	0.01	-0.01	-50.00%	8	274	19.53%
SPY251117C00707000	11/13/2025 3:07 PM	707	0.01	0.00	0.01	0.00	0.00%	1	393	20.31%
SPY251117C00708000	11/14/2025 3:34 PM	708	0.01	0.00	0.01	0.00	0.00%	7	132	20.70%
SPY251117C00709000	11/12/2025 11:47 AM	709	0.02	0.00	0.01	0.00	0.00%	1	456	21.09%
SPY251117C00710000	11/14/2025 3:24 PM	710	0.01	0.00	0.01	0.00	0.00%	220	325	21.49%
SPY251117C00714000	11/14/2025 3:35 PM	714	0.01	0.00	0.01	-0.01	-50.00%	415	298	23.44%
SPY251117C00715000	11/14/2025 1:49 PM	715	0.01	0.00	0.01	0.00	0.00%	201	825	24.22%
SPY251117C00720000	11/14/2025 3:56 PM	720	0.01	0.00	0.01	0.00	0.00%	43	448	26.56%
SPY251117C00725000	11/14/2025 1:05 PM	725	0.01	0.00	0.01	0.00	0.00%	1	652	28.91%
SPY251117C00730000	11/14/2025 1:02 PM	730	0.01	0.00	0.01	0.00	0.00%	311	975	31.25%
SPY251117C00735000	11/14/2025 12:58 PM	735	0.01	0.00	0.01	0.00	0.00%	61	587	33.59%
SPY251117C00740000	11/14/2025 11:57 AM	740	0.01	0.00	0.01	0.00	0.00%	33	3,431	35.94%
SPY251117C00745000	11/14/2025 11:57 AM	745	0.01	0.00	0.01	0.00	0.00%	10	3,951	38.28%
SPY251117C00750000	11/10/2025 3:47 PM	750	0.01	0.00	0.01	0.00	0.00%	8	132	40.63%
SPY251117C00785000	11/10/2025 11:47 AM	785	0.01	0.00	0.01	0.00	0.00%	24	24	53.13%
SPY251117C00795000	11/14/2025 10:58 AM	795	0.01	0.00	0.01	0.00	0.00%	4,957	765	56.25%
SPY251117C00800000	11/14/2025 11:11 AM	800	0.01	0.00	0.01	0.00	0.00%	49	766	57.81%
SPY251118C00610000	11/4/2025 2:20 PM	610	67.72	61.41	63.84	0.00	0.00%	-	1	63.26%
SPY251118C00625000	11/14/2025 1:07 PM	625	48.62	46.45	48.88	-8.85	-15.40%	9	1	50.71%
SPY251118C00630000	11/14/2025 10:23 AM	630	39.18	41.47	43.90	-3.11	-7.35%	1	2	59.31%
SPY251118C00635000	11/7/2025 3:59 PM	635	35.31	36.50	38.93	-2.10	-5.61%	1	4	54.27%
SPY251118C00640000	11/14/2025 3:39 PM	640	32.82	31.53	33.97	-2.09	-5.99%	50	55	49.19%
SPY251118C00650000	11/14/2025 3:56 PM	650	22.21	22.93	23.21	-2.45	-9.94%	56	7	32.59%
SPY251118C00655000	11/14/2025 3:40 PM	655	17.97	18.11	18.42	-1.96	-9.83%	158	38	28.69%
SPY251118C00656000	11/14/2025 12:53 PM	656	19.01	17.17	17.49	4.95	35.21%	18	21	28.02%
SPY251118C00657000	11/14/2025 11:31 AM	657	17.79	16.26	16.52	-0.74	-3.99%	8	15	27.06%
SPY251118C00658000	11/14/2025 12:14 PM	658	17.98	15.34	15.60	1.73	10.65%	6	71	26.38%
SPY251118C00660000	11/14/2025 3:57 PM	660	12.62	13.53	13.79	-2.36	-15.75%	410	82	25.09%
SPY251118C00661000	11/14/2025 4:13 PM	661	12.65	12.67	12.92	-0.90	-6.64%	456	48	24.55%
SPY251118C00662000	11/14/2025 1:53 PM	662	12.66	11.80	12.05	-0.57	-4.31%	141	81	23.95%
SPY251118C00663000	11/14/2025 4:01 PM	663	10.28	10.93	11.15	-1.72	-14.33%	394	47	23.13%
SPY251118C00664000	11/14/2025 4:13 PM	664	10.20	10.11	10.31	-0.80	-7.27%	482	97	22.57%
SPY251118C00665000	11/14/2025 4:14 PM	665	9.40	9.28	9.47	-0.33	-3.39%	1,937	192	21.92%
SPY251118C00666000	11/14/2025 4:04 PM	666	7.98	8.54	8.66	-1.28	-13.82%	1,854	116	21.34%
SPY251118C00667000	11/14/2025 3:58 PM	667	7.02	7.75	7.88	-2.11	-23.11%	1,534	146	20.80%
SPY251118C00668000	11/14/2025 4:10 PM	668	6.93	7.00	7.13	-1.04	-13.05%	4,570	170	20.29%
SPY251118C00669000	11/14/2025 4:14 PM	669	6.35	6.29	6.39	-1.33	-17.32%	3,223	352	19.72%
SPY251118C00670000	11/14/2025 4:14 PM	670	5.65	5.61	5.69	-1.42	-20.08%	6,008	601	19.21%
SPY251118C00671000	11/14/2025 4:14 PM	671	5.00	4.95	5.01	-1.40	-21.88%	3,874	467	18.65%
SPY251118C00672000	11/14/2025 4:14 PM	672	4.35	4.33	4.38	-1.53	-26.02%	7,050	785	18.16%
SPY251118C00673000	11/14/2025 4:14 PM	673	3.78	3.74	3.79	-1.45	-27.72%	6,433	685	17.69%
SPY251118C00674000	11/14/2025 4:14 PM	674	3.22	3.20	3.25	-1.49	-31.63%	8,575	1,608	17.27%
SPY251118C00675000	11/14/2025 4:14 PM	675	2.73	2.70	2.75	-1.42	-34.22%	10,622	2,094	16.85%
SPY251118C00676000	11/14/2025 4:14 PM	676	2.28	2.25	2.29	-1.34	-37.02%	6,735	877	16.41%
SPY251118C00677000	11/14/2025 4:14 PM	677	1.89	1.86	1.88	-1.16	-38.03%	4,685	988	15.99%
SPY251118C00678000	11/14/2025 4:14 PM	678	1.51	1.49	1.52	-1.21	-44.49%	6,734	1,697	15.61%
SPY251118C00679000	11/14/2025 4:14 PM	679	1.21	1.18	1.21	-1.10	-47.62%	7,560	1,595	15.25%
SPY251118C00680000	11/14/2025 4:14 PM	680	0.93	0.92	0.94	-1.03	-52.55%	17,118	4,206	14.87%
SPY251118C00681000	11/14/2025 4:14 PM	681	0.72	0.70	0.72	-0.90	-55.56%	3,842	1,517	14.55%
SPY251118C00682000	11/14/2025 4:14 PM	682	0.54	0.52	0.54	-0.80	-59.70%	7,214	1,710	14.23%
SPY251118C00683000	11/14/2025 4:14 PM	683	0.40	0.38	0.39	-0.70	-63.64%	4,694	2,286	13.89%
SPY251118C00684000	11/14/2025 4:14 PM	684	0.27	0.27	0.28	-0.62	-69.66%	2,894	1,242	13.62%
SPY251118C00685000	11/14/2025 4:14 PM	685	0.20	0.19	0.20	-0.52	-72.22%	9,007	3,008	13.43%
SPY251118C00686000	11/14/2025 4:14 PM	686	0.14	0.12	0.14	-0.42	-75.00%	4,980	1,015	13.23%
SPY251118C00687000	11/14/2025 4:10 PM	687	0.07	0.08	0.09	-0.36	-83.72%	1,779	2,317	12.94%
SPY251118C00688000	11/14/2025 4:11 PM	688	0.06	0.06	0.07	-0.28	-82.35%	2,126	2,514	13.09%
SPY251118C00689000	11/14/2025 4:12 PM	689	0.05	0.04	0.05	-0.21	-80.77%	2,244	921	13.09%
SPY251118C00690000	11/14/2025 4:14 PM	690	0.04	0.03	0.04	-0.14	-77.78%	5,085	3,106	13.28%
SPY251118C00691000	11/14/2025 4:12 PM	691	0.02	0.02	0.03	-0.12	-85.71%	1,318	1,718	13.38%
SPY251118C00692000	11/14/2025 4:12 PM	692	0.02	0.01	0.02	-0.08	-80.00%	235	1,147	13.28%
SPY251118C00693000	11/14/2025 4:13 PM	693	0.02	0.01	0.02	-0.05	-71.43%	522	1,148	13.87%
SPY251118C00694000	11/14/2025 3:48 PM	694	0.02	0.01	0.02	-0.04	-66.67%	478	473	14.45%
SPY251118C00695000	11/14/2025 4:12 PM	695	0.01	0.01	0.02	-0.03	-75.00%	479	894	15.04%
SPY251118C00696000	11/14/2025 3:55 PM	696	0.02	0.01	0.02	-0.01	-33.33%	1,364	3,004	15.63%
SPY251118C00697000	11/14/2025 4:06 PM	697	0.02	0.01	0.02	-0.01	-33.33%	62	2,136	16.21%
SPY251118C00698000	11/14/2025 12:51 PM	698	0.02	0.01	0.02	-0.02	-50.00%	3	1,637	16.80%
SPY251118C00699000	11/14/2025 3:15 PM	699	0.01	0.01	0.02	-0.01	-50.00%	92	1,686	17.19%
SPY251118C00700000	11/14/2025 4:12 PM	700	0.01	0.01	0.02	-0.01	-50.00%	646	2,150	17.77%
SPY251118C00701000	11/14/2025 4:12 PM	701	0.01	0.01	0.02	-0.01	-50.00%	38	1,322	18.36%
SPY251118C00702000	11/14/2025 3:48 PM	702	0.01	0.00	0.02	-0.01	-50.00%	68	263	18.95%
SPY251118C00703000	11/14/2025 4:02 PM	703	0.01	0.00	0.02	-0.01	-50.00%	18	756	19.53%
SPY251118C00705000	11/14/2025 11:40 AM	705	0.01	0.00	0.01	-0.01	-50.00%	90	1,147	19.14%
SPY251118C00706000	11/13/2025 11:49 AM	706	0.02	0.00	0.01	0.00	0.00%	295	404	19.53%
SPY251118C00707000	11/13/2025 2:22 PM	707	0.02	0.00	0.01	0.00	0.00%	80	759	20.31%
SPY251118C00710000	11/13/2025 11:58 AM	710	0.01	0.00	0.01	0.00	0.00%	19	72	21.49%
SPY251118C00711000	11/13/2025 11:46 AM	711	0.02	0.00	0.01	0.00	0.00%	302	327	22.27%
SPY251118C00715000	11/11/2025 9:56 AM	715	0.02	0.00	0.01	0.00	0.00%	1	122	24.22%
SPY251118C00716000	11/10/2025 3:52 PM	716	0.02	0.00	0.01	0.00	0.00%	66	901	24.61%
SPY251118C00717000	11/12/2025 12:59 PM	717	0.02	0.00	0.01	0.00	0.00%	30	1,306	25.00%
SPY251118C00718000	11/10/2025 3:52 PM	718	0.02	0.00	0.01	0.00	0.00%	6,019	5,941	25.78%
SPY251118C00720000	11/10/2025 3:22 PM	720	0.02	0.00	0.01	0.00	0.00%	7,552	7,736	26.56%
SPY251118C00722000	11/14/2025 3:22 PM	722	0.01	0.00	0.01	-0.01	-50.00%	262	66	27.34%
SPY251118C00725000	11/14/2025 3:16 PM	725	0.01	0.00	0.01	0.00	0.00%	46	360	28.91%
SPY251118C00727000	11/14/2025 1:42 PM	727	0.01	0.00	0.01	0.00	0.00%	3	39	29.69%
SPY251118C00728000	11/12/2025 4:14 PM	728	0.01	0.00	0.01	0.00	0.00%	42	240	30.47%
SPY251118C00729000	11/10/2025 9:40 AM	729	0.02	0.00	0.01	0.00	0.00%	23	446	30.86%
SPY251118C00730000	11/14/2025 3:18 PM	730	0.01	0.00	0.01	0.00	0.00%	175	980	31.25%
SPY251118C00735000	11/14/2025 1:55 PM	735	0.01	0.00	0.01	0.00	0.00%	16	153	33.59%
SPY251118C00740000	11/14/2025 10:24 AM	740	0.01	0.00	0.01	0.00	0.00%	343	45	35.94%
SPY251118C00745000	11/14/2025 2:14 PM	745	0.02	0.00	0.01	0.01	100.00%	24	624	38.28%
SPY251118C00750000	11/14/2025 11:29 AM	750	0.01	0.00	0.01	0.00	0.00%	33	263	40.63%
SPY251118C00610000	11/10/2025 9:54 AM	610	104.00	96.48	98.89	0.00	0.00%	1	1	82.42%
SPY251118C00625000	11/13/2025 1:00 PM	625	94.58	91.49	93.91	0.00	0.00%	4	5	78.86%
SPY251118C00630000	11/10/2025 9:56 AM	630	89.22	81.50	83.92	0.00	0.00%	1	0	71.39%
SPY251118C00635000	11/14/2025 11:25 AM	635	34.80	31.79	34.24	-0.93	-2.60%	2	12	44.35%
SPY251118C00640000	11/14/2025 12:22 PM	640	31.71	29.10	29.40	8.26	35.22%	10	1	34.99%
SPY251118C00650000	11/14/2025 3:55 PM	650	27.61	28.13	28.43	-12.01	-30.31%	1	11	34.29%
SPY251118C00655000	11/14/2025 1:09 PM	655	24.31	23.37	23.65	-0.18	-0.73%	17	34	31.04%
SPY251118C00656000	11/14/2025 9:56 AM	656	16.00	18.70	18.97	-5.11	-24.21%	14	5	27.89%
SPY251118C00657000	11/14/2025 10:58 AM	657	17.68	17.80	18.08	-6.12	-25.71%	23	1	27.42%
SPY251118C00658000	11/14/2025 12:51 PM	658	17.02	16.02	16.30	0.18	1.07%	136	11	26.37%
SPY251118C00660000	11/14/2025 3:42 PM	660	14.11	14.28	14.55	-1.93	-12.03%	209	49	25.29%
SPY251118C00661000	11/14/2025 2:27 PM	661	14.70	13.46	13.72	-5.26	-26.35%	210	10	24.88%
SPY251118C00662000	11/14/2025 4:06 PM	662	12.21	12.65	12.85	-3.77	-23.59%	403	181	24.26%
SPY251118C00663000	11/14/2025 3:03 PM	663	13.75	11.80	12.04	-1.56	-10.19%	337	67	23.83%
SPY251118C00664000	11/14/2025 2:38 PM	664	10.41	11.03	11.23	-2.23	-17.64%	722	232	23.34%
SPY251118C00665000	11/14/2025 4:08 PM	665	10.12	10.28	10.40	-0.45	-4.26%	563	148	22.72%
SPY251118C00666000	11/14/2025 4:14 PM	666	9.56	9.52	9.63	-0.32	-3.24%	1,313	135	22.27%
SPY251118C00667000	11/14/2025 3:51 PM	667	8.45	8.77	8.88	-1.09	-11.43%	869	1,939	21.82%
SPY251118C00668000	11/14/2025 4:14 PM	668	8.15	8.03	8.18	-0.50	-5.78%	1,245	381	21.49%
SPY251118C00669000	11/14/2025 4:06 PM	669	6.84	7.35	7.45	-1.85	-21.29%	1,655	419	20.96%
SPY251118C00670000	11/14/2025 4:13 PM	670	6.70	6.68	6.76	-1.35	-16.77%	2,952	547	20.50%
SPY251118C00671000	11/14/2025 4:06 PM	671	5.55	6.05	6.11	-1.88	-25.30%	2,145	1,188	20.09%
SPY251118C00672000	11/14/2025 4:14 PM	672	5.47	5.43	5.50	-1.28	-18.96%	2,592	624	19.72%
SPY251118C00673000	11/14/2025 4:14 PM	673	4.89	4.85	4.91	-1.31	-21.13%	3,233	813	19.32%
SPY251118C00674000	11/14/2025 4:14 PM	674	4.31	4.28	4.35	-1.29	-23.04%	4,411	868	18.93%
SPY251118C00675000	11/14/2025 4:14 PM	675	3.80	3.77	3.82	-1.27	-25.05%	5,984	1,168	18.53%
SPY251118C00676000	11/14/2025 4:07 PM	676	3.02	3.28	3.33	-1.51	-33.33%	3,667	926	18.15%
SPY251118C00677000	11/14/2025 4:14 PM	677	2.83	2.83	2.88	-1.19	-29.60%	3,192	833	17.79%
SPY251118C00678000	11/14/2025 4:14 PM	678	2.46	2.42	2.46	-1.11	-31.09%	2,400	1,274	17.42%
SPY251118C00679000	11/14/2025 4:14 PM	679	2.08	2.05	2.09	-1.04	-33.33%	1,083	1,040	17.10%
SPY251118C00680000	11/14/2025 4:14 PM	680	1.76	1.71	1.75	-1.01	-36.46%	5,607	1,596	16.75%
SPY251118C00681000	11/14/2025 4:14 PM	681	1.43	1.42	1.46	-0.96	-40.17%	2,139	970	16.48%
SPY251118C00682000	11/14/2025 4:14 PM	682	1.19	1.16	1.19	-0.86	-41.95%	1,452	1,039	16.14%
SPY251118C00683000	11/14/2025 4:14 PM	683	0.96	0.93	0.97	-0.77	-44.51%	1,477	1,207	15.88%
SPY251118C00684000	11/14/2025 4:14 PM	684	0.76	0.74	0.77	-0.74	-49.33%	1,292	1,281	15.56%
SPY251118C00685000	11/14/2025 4:14 PM	685	0.60	0.58	0.61	-0.63	-51.22%	4,385	1,473	15.33%
SPY251118C00686000	11/14/2025 4:11 PM	686	0.44	0.45	0.47	-0.57	-56.44%	880	606	15.04%
SPY251118C00687000	11/14/2025 4:14 PM	687	0.35	0.34	0.36	-0.52	-59.77%	1,251	1,186	14.80%
SPY251118C00688000	11/14/2025 4:14 PM	688	0.26	0.26	0.27	-0.44	-62.86%	724	993	14.55%
SPY251118C00689000	11/14/2025 4:11 PM	689	0.18	0.19	0.20	-0.38	-67.86%	664	1,340	14.33%
SPY251118C00690000	11/14/2025 4:12 PM	690	0.15	0.14	0.15	-0.29	-65.91%	5,042	2,075	14.21%
SPY251118C00691000	11/14/2025 4:14 PM	691	0.10	0.10	0.11	-0.26	-72.22%	3,539	850	14.06%
SPY251118C00692000	11/14/2025 4:14 PM	692	0.07	0.07	0.08	-0.21	-75.00%	636	920	13.92%
SPY251118C00693000	11/14/2025 4:11 PM	693	0.05	0.05	0.06	-0.16	-76.19%	1,839	1,025	13.87%
SPY251118C00694000	11/14/2025 4:14 PM	694	0.04	0.03	0.05	-0.13	-76.47%	795	1,138	14.06%
SPY251118C00695000	11/14/2025 4:01 PM	695	0.03	0.03	0.04	-0.10	-76.92%	1,309	1,322	14.16%
SPY251118C00696000	11/14/2025 4:14 PM	696	0.03	0.02	0.03	-0.06	-66.67%	1,377	1,095	14.16%
SPY251118C00697000	11/14/2025 4:14 PM	697	0.02	0.01	0.02	-0.07	-77.78%	408	379	14.06%
SPY251118C00698000	11/14/2025 4:01 PM	698	0.01	0.01	0.02	-0.06	-85.71%	65	1,220	14.45%
SPY251118C00699000	11/14/2025 3:36 PM	699	0.02	0.01	0.02	-0.03	-60.00%	1,248	611	14.94%
SPY251118C00700000	11/14/2025 4:02 PM	700	0.01	0.01	0.02	-0.02	-66.67%	644	1,753	15.43%
SPY251118C00701000	11/14/2025 4:00 PM	701	0.01	0.01	0.02	-0.01	-50.00%	58	1,195	15.82%
SPY251118C00702000	11/14/2025 1:10 PM	702	0.01	0.01	0.02	-0.02	-66.67%	117	999	16.41%
SPY251118C00703000	11/14/2025 4:14 PM	703	0.02	0.01	0.02	-0.01	-33.33%	177	72	17.38%
SPY251118C00705000	11/14/2025 12:25 PM	705	0.01	0.01	0.02	0.00	0.00%	1	191	17.77%
SPY251118C00706000	11/14/2025 10:15 AM	706	0.01	0.00	0.01	-0.01	-50.00%	23	73	17.58%
SPY251118C00707000	11/14/2025 3:21 PM	707	0.01	0.00	0.01	-0.03	-75.00%	874	128	17.97%
SPY251118C00710000	11/14/2025 1:10 PM	710	0.01	0.00	0.01	-0.01	-50.00%	36	198	18.75%
SPY251118C00711000	11/14/2025 3:05 PM	711	0.01	0.00	0.01	-0.01	-50.00%	31	156	19.14%
SPY251118C00715000	11/14/2025 3:03 PM	715	0.01	0.00	0.01	-0.01	-50.00%	36	153	20.31%
SPY251118C00716000	11/14/2025 12:40 PM	716	0.01	0.00	0.01	-0.02	-66.67%	1	167	20.70%
SPY251118C00717000	11/7/2025 9:50 AM	717	0.03	0.00	0.01	0.00	0.00%	100	100	21.49%
SPY251118C00718000	11/14/2025 1:40 PM	718	0.01	0.00	0.01	-0.01	-50.00%	1,200	289	21.88%
SPY251118C00720000	11/14/2025 1:06 PM	720	0.01	0.00	0.01	-0.01	-50.00%	21	103	23.05%
SPY251118C00722000	11/10/2025 10:23 AM	722	0.02	0.00	0.01	0.00	0.00%	3	2	25.00%
SPY251118C00725000	11/13/2025 12:28 PM	725	0.02	0.00	0.01	0.00	0.00%	3	160	26.95%
SPY251118C00727000	11/14/2025 11:23 AM	727	0.01	0.00	0.01	0.00	0.00%	342	2	28.91%
SPY251118C00728000	11/13/2025 9:47 AM	728	0.01	0.00	0.01	0.00	0.00%	15	15	31.25%
SPY251118C00729000	11/14/2025 10:55 AM	729	0.01	0.00	0.01	-0.01	-50.00%	1,800	33	32.81%
SPY251120C00575000	11/10/2025 9:33 AM	575	103.00	96.58	99.00	0.00	0.00%	1	1	75.49%
SPY251120C00645000	11/13/2025 3:59 PM	645	28.21	28.48	28.84	0.00	0.00%	196	10	33.11%
SPY251120C00648000	11/13/2025 4:12 PM	648	26.91	25.65	25.98	0.00	0.00%	146	16	31.28%
SPY251120C00650000	11/14/2025 3:58 PM	650	22.80	23.84	24.13	-2.41	-9.56%	18	102	30.27%
SPY251120C00652000	11/13/2025 4:14 PM	652	23.42	21.99	22.31	0.00	0.00%	496	166	29.33%
SPY251120C00653000	11/13/2025 4:05 PM	653	22.17	21.09	21.42	0.00	0.00%	402	40	28.91%
