Contract Name	Last Trade Date (EDT)	Strike	Last Price	Bid	Ask	Change	% Change	Volume	Open Interest	Implied Volatility
SPY250818C00635000	8/15/2025 4:14 PM	635	8.43	8.37	8.55	-1.85	-18.00%	372	370	10.89%
SPY250818C00636000	8/15/2025 4:09 PM	636	7.29	7.43	7.60	-2.91	-28.53%	357	1,689	10.69%
SPY250818C00637000	8/15/2025 4:14 PM	637	6.53	6.48	6.67	-1.73	-20.94%	564	827	10.50%
SPY250818C00638000	8/15/2025 4:13 PM	638	5.60	5.56	5.76	-2.25	-28.66%	3,377	2,612	10.23%
SPY250818C00639000	8/15/2025 4:14 PM	639	4.75	4.74	4.88	-1.88	-28.36%	2,601	2,255	9.94%
SPY250818C00640000	8/15/2025 4:14 PM	640	3.93	3.88	3.99	-1.81	-31.53%	3,001	2,772	9.29%
SPY250818C00641000	8/15/2025 4:14 PM	641	3.13	3.08	3.14	-1.85	-37.15%	7,866	3,796	8.64%
SPY250818C00642000	8/15/2025 4:14 PM	642	2.42	2.34	2.50	-1.69	-41.12%	10,919	4,074	8.86%
SPY250818C00643000	8/15/2025 4:14 PM	643	1.77	1.75	1.77	-1.61	-47.63%	38,536	2,058	8.11%
SPY250818C00644000	8/15/2025 4:14 PM	644	1.23	1.25	1.26	-1.48	-54.61%	72,701	5,057	8.01%
SPY250818C00645000	8/15/2025 4:14 PM	645	0.82	0.82	0.85	-1.21	-59.61%	131,538	7,257	7.90%
SPY250818C00646000	8/15/2025 4:14 PM	646	0.53	0.52	0.53	-1.00	-65.36%	53,603	3,110	7.72%
SPY250818C00647000	8/15/2025 4:14 PM	647	0.32	0.32	0.34	-0.79	-71.17%	31,669	2,763	7.81%
SPY250818C00648000	8/15/2025 4:14 PM	648	0.20	0.19	0.20	-0.59	-74.68%	34,123	2,765	7.81%
SPY250818C00649000	8/15/2025 4:14 PM	649	0.12	0.11	0.12	-0.44	-78.57%	26,663	4,856	7.94%
SPY250818C00650000	8/15/2025 4:14 PM	650	0.08	0.06	0.07	-0.28	-77.78%	42,880	6,183	8.06%
SPY250818C00651000	8/15/2025 4:14 PM	651	0.05	0.04	0.05	-0.18	-78.26%	10,310	2,829	8.50%
SPY250818C00652000	8/15/2025 4:14 PM	652	0.02	0.02	0.03	-0.13	-86.67%	3,834	2,788	8.69%
SPY250818C00653000	8/15/2025 4:14 PM	653	0.02	0.01	0.02	-0.07	-77.78%	3,625	2,717	8.99%
SPY250818C00654000	8/15/2025 4:14 PM	654	0.02	0.02	0.03	-0.04	-66.67%	5,788	2,013	10.35%
SPY250818C00655000	8/15/2025 4:14 PM	655	0.02	0.01	0.02	-0.02	-50.00%	6,051	2,688	10.55%
SPY250818C00656000	8/15/2025 4:10 PM	656	0.01	0.01	0.02	-0.02	-66.67%	999	1,530	11.33%
SPY250818C00657000	8/15/2025 4:13 PM	657	0.02	0.01	0.02	0.00	0.00%	1,204	2,300	12.11%
SPY250818C00658000	8/15/2025 4:14 PM	658	0.01	0.01	0.02	-0.01	-50.00%	67	1,025	12.89%
SPY250818C00659000	8/15/2025 4:09 PM	659	0.01	0.00	0.01	-0.01	-50.00%	2,466	680	12.50%
SPY250818C00660000	8/15/2025 4:04 PM	660	0.01	0.00	0.01	-0.01	-50.00%	2,141	808	13.28%
SPY250818C00665000	8/15/2025 12:40 PM	665	0.01	0.00	0.01	-0.01	-50.00%	18	480	16.80%
SPY250818C00670000	8/15/2025 11:24 AM	670	0.01	0.00	0.01	0.00	0.00%	8	381	20.31%
SPY250818C00675000	8/13/2025 3:09 PM	675	0.01	0.00	0.01	0.00	0.00%	100	127	23.44%
SPY250818C00680000	8/15/2025 4:06 PM	680	0.01	0.00	0.01	0.00	0.00%	1	1,008	26.56%
SPY250818C00685000	8/14/2025 3:33 PM	685	0.01	0.00	0.01	0.00	0.00%	9	3,245	29.69%
SPY250818C00700000	8/8/2025 3:23 PM	700	0.02	0.00	0.01	0.00	0.00%	2	2	39.06%
SPY250819C00425000	8/6/2025 9:59 AM	425	204.70	216.86	219.66	0.00	0.00%	-	1	239.60%
SPY250819C00455000	8/6/2025 10:00 AM	455	174.96	186.87	189.67	0.00	0.00%	-	1	205.47%
SPY250819C00560000	8/5/2025 3:51 PM	560	69.86	81.91	84.71	0.00	0.00%	-	1	96.73%
SPY250819C00580000	8/8/2025 2:42 PM	580	57.99	61.93	64.73	0.00	0.00%	1	3	77.03%
SPY250819C00595000	8/15/2025 10:59 AM	595	48.62	46.94	49.75	0.91	1.91%	1	2	62.16%
SPY250819C00600000	8/15/2025 2:22 PM	600	44.13	41.95	44.75	-1.40	-3.07%	10	7	57.06%
SPY250819C00605000	8/15/2025 9:32 AM	605	39.70	36.96	39.76	-0.67	-1.66%	4	15	52.00%
SPY250819C00608000	8/11/2025 3:54 PM	608	27.94	33.96	36.77	0.00	0.00%	1	2	48.98%
SPY250819C00610000	8/12/2025 9:46 AM	610	29.13	31.97	34.77	0.00	0.00%	10	30	46.88%
SPY250819C00611000	8/12/2025 1:15 PM	611	31.38	30.97	33.77	0.00	0.00%	1	1	45.81%
SPY250819C00615000	8/15/2025 4:01 PM	615	28.37	27.05	29.62	-2.53	-8.19%	7	33	40.16%
SPY250819C00619000	8/14/2025 3:27 PM	619	26.55	23.00	25.80	0.00	0.00%	1	1	37.48%
SPY250819C00620000	8/15/2025 11:16 AM	620	24.19	22.06	24.62	0.35	1.47%	97	24	34.85%
SPY250819C00621000	8/8/2025 9:31 AM	621	15.77	21.05	23.66	0.00	0.00%	1	2	34.11%
SPY250819C00622000	8/14/2025 2:43 PM	622	23.11	20.04	22.79	0.00	0.00%	3	3	34.08%
SPY250819C00623000	8/14/2025 9:55 AM	623	20.73	20.27	21.80	-0.33	-1.57%	2	6	33.03%
SPY250819C00624000	8/15/2025 4:14 PM	624	19.34	18.73	20.65	-2.27	-10.50%	6	23	30.74%
SPY250819C00625000	8/15/2025 2:35 PM	625	19.72	17.68	19.63	-0.40	-1.99%	17	35	29.47%
SPY250819C00626000	8/15/2025 11:58 AM	626	17.79	17.36	17.57	-1.26	-6.61%	2	87	16.65%
SPY250819C00627000	8/15/2025 1:14 PM	627	18.05	16.37	16.58	-0.11	-0.61%	4	29	16.07%
SPY250819C00628000	8/15/2025 1:56 PM	628	15.77	15.35	15.60	-1.66	-9.52%	107	182	15.63%
SPY250819C00629000	8/15/2025 3:45 PM	629	15.29	14.41	14.62	-0.86	-5.33%	12	37	15.16%
SPY250819C00630000	8/15/2025 3:35 PM	630	14.07	13.42	13.65	-2.05	-12.72%	23	143	14.77%
SPY250819C00631000	8/15/2025 9:39 AM	631	12.84	12.42	12.68	-0.35	-2.65%	8	64	14.31%
SPY250819C00632000	8/15/2025 3:58 PM	632	11.76	11.46	11.72	-0.51	-4.16%	109	145	13.89%
SPY250819C00633000	8/15/2025 3:47 PM	633	11.38	10.58	10.77	-1.41	-11.02%	57	136	13.50%
SPY250819C00634000	8/15/2025 1:26 PM	634	10.58	9.57	9.82	0.11	1.05%	27	505	13.01%
SPY250819C00635000	8/15/2025 4:10 PM	635	8.50	8.64	8.89	-2.05	-19.43%	179	560	12.61%
SPY250819C00636000	8/15/2025 3:03 PM	636	8.07	7.72	7.96	-1.57	-16.29%	32	235	12.09%
SPY250819C00637000	8/15/2025 4:00 PM	637	6.92	6.87	7.08	-2.59	-27.23%	120	460	11.81%
SPY250819C00638000	8/15/2025 4:12 PM	638	5.93	6.00	6.22	-2.62	-30.64%	623	536	11.48%
SPY250819C00639000	8/15/2025 4:06 PM	639	5.23	5.16	5.38	-2.48	-32.17%	431	441	11.10%
SPY250819C00640000	8/15/2025 4:14 PM	640	4.44	4.40	4.56	-2.41	-35.18%	876	1,509	10.63%
SPY250819C00641000	8/15/2025 4:13 PM	641	3.66	3.68	3.73	-2.25	-38.07%	1,217	542	9.94%
SPY250819C00642000	8/15/2025 4:14 PM	642	3.00	2.99	3.11	-1.60	-34.78%	1,078	1,038	9.97%
SPY250819C00643000	8/15/2025 4:14 PM	643	2.36	2.37	2.42	-1.39	-37.07%	7,406	1,229	9.42%
SPY250819C00644000	8/15/2025 4:13 PM	644	1.81	1.82	1.86	-1.40	-43.61%	9,355	723	9.14%
SPY250819C00645000	8/15/2025 4:14 PM	645	1.35	1.35	1.39	-1.19	-46.85%	14,953	2,094	8.91%
SPY250819C00646000	8/15/2025 4:14 PM	646	0.96	0.97	0.98	-1.03	-51.76%	8,772	2,113	8.59%
SPY250819C00647000	8/15/2025 4:14 PM	647	0.68	0.66	0.68	-0.92	-57.50%	8,757	2,526	8.44%
SPY250819C00648000	8/15/2025 4:14 PM	648	0.43	0.43	0.45	-0.73	-62.93%	5,021	1,439	8.27%
SPY250819C00649000	8/15/2025 4:14 PM	649	0.29	0.28	0.29	-0.62	-68.13%	3,163	998	8.17%
SPY250819C00650000	8/15/2025 4:14 PM	650	0.18	0.18	0.19	-0.45	-71.43%	7,515	3,465	8.20%
SPY250819C00651000	8/15/2025 4:14 PM	651	0.10	0.10	0.12	-0.34	-77.27%	5,870	677	8.20%
SPY250819C00652000	8/15/2025 4:14 PM	652	0.07	0.06	0.07	-0.22	-75.86%	3,131	962	8.16%
SPY250819C00653000	8/15/2025 4:14 PM	653	0.05	0.04	0.05	-0.18	-78.26%	1,783	1,188	8.40%
SPY250819C00654000	8/15/2025 4:09 PM	654	0.03	0.02	0.03	-0.11	-78.57%	1,472	949	8.45%
SPY250819C00655000	8/15/2025 4:08 PM	655	0.02	0.02	0.03	-0.07	-77.78%	1,962	1,955	9.08%
SPY250819C00656000	8/15/2025 4:09 PM	656	0.02	0.01	0.02	-0.03	-60.00%	326	1,040	9.28%
SPY250819C00657000	8/15/2025 2:57 PM	657	0.01	0.01	0.02	-0.05	-83.33%	382	453	9.96%
SPY250819C00658000	8/15/2025 3:09 PM	658	0.02	0.01	0.02	-0.02	-50.00%	367	719	10.55%
SPY250819C00659000	8/15/2025 4:03 PM	659	0.01	0.01	0.02	-0.02	-66.67%	312	312	11.13%
SPY250819C00660000	8/15/2025 3:52 PM	660	0.01	0.00	0.01	-0.01	-50.00%	499	1,007	10.94%
SPY250819C00665000	8/15/2025 3:35 PM	665	0.01	0.00	0.01	-0.01	-50.00%	799	697	13.67%
SPY250819C00670000	8/15/2025 10:22 AM	670	0.01	0.00	0.01	-0.01	-50.00%	1	96	16.41%
SPY250819C00675000	8/14/2025 3:51 PM	675	0.01	0.00	0.01	0.00	0.00%	157	170	19.14%
SPY250819C00680000	8/13/2025 2:59 PM	680	0.02	0.00	0.01	0.00	0.00%	85	134	21.88%
SPY250819C00685000	8/15/2025 3:43 PM	685	0.01	0.00	0.01	-0.01	-50.00%	2	73	24.22%
SPY250819C00690000	8/11/2025 12:44 PM	690	0.01	0.00	0.01	0.00	0.00%	164	184	26.95%
SPY250819C00705000	8/7/2025 2:05 PM	705	0.01	0.00	0.01	0.00	0.00%	-	0	34.38%
SPY250820C00585000	8/8/2025 10:20 AM	585	52.10	57.02	59.83	0.00	0.00%	1	1	63.48%
SPY250820C00590000	8/6/2025 10:30 AM	590	40.36	52.03	54.83	0.00	0.00%	-	2	59.06%
SPY250820C00605000	8/15/2025 9:41 AM	605	40.64	37.06	39.87	1.23	3.12%	1	40	46.00%
SPY250820C00608000	8/15/2025 3:20 PM	608	36.08	34.07	36.87	0.17	0.47%	2	13	43.26%
SPY250820C00609000	8/8/2025 2:00 PM	609	29.64	33.07	35.88	0.00	0.00%	1	2	42.42%
SPY250820C00610000	8/15/2025 12:41 PM	610	34.03	32.08	34.88	-1.79	-5.00%	2	23	41.50%
SPY250820C00615000	8/15/2025 3:01 PM	615	28.87	27.13	29.67	0.91	3.25%	4	21	35.19%
SPY250820C00616000	8/15/2025 2:23 PM	616	28.53	26.10	28.91	-0.18	-0.63%	2	4	36.11%
SPY250820C00617000	8/7/2025 2:07 PM	617	16.90	25.19	27.72	0.00	0.00%	-	1	33.74%
SPY250820C00618000	8/13/2025 11:16 AM	618	25.95	24.12	26.92	0.00	0.00%	1	4	34.28%
SPY250820C00619000	8/14/2025 9:45 AM	619	25.04	23.24	25.75	0.00	0.00%	1	6	32.09%
SPY250820C00620000	8/15/2025 2:01 PM	620	25.02	22.13	24.93	-0.63	-2.46%	1	52	32.42%
SPY250820C00621000	8/8/2025 9:31 AM	621	23.98	21.17	23.92	7.94	49.50%	1	5	31.37%
SPY250820C00622000	8/14/2025 11:18 AM	622	23.23	20.26	22.72	0.00	0.00%	2	66	29.03%
SPY250820C00623000	8/15/2025 3:56 PM	623	20.60	19.42	21.42	-1.77	-7.91%	200	32	25.88%
SPY250820C00624000	8/15/2025 3:32 PM	624	19.67	19.07	20.95	-0.43	-2.14%	227	4	28.61%
SPY250820C00625000	8/15/2025 3:59 PM	625	18.75	17.72	19.69	-1.52	-7.50%	9	55	25.93%
SPY250820C00626000	8/15/2025 10:06 AM	626	18.81	16.81	18.73	1.05	5.91%	1	35	25.21%
SPY250820C00627000	8/15/2025 9:53 AM	627	17.68	15.74	17.70	-1.09	-5.81%	3	50	24.02%
SPY250820C00628000	8/15/2025 1:25 PM	628	16.37	15.53	15.81	-1.74	-9.61%	3	37	16.21%
SPY250820C00629000	8/15/2025 4:09 PM	629	14.46	14.61	14.85	-2.01	-12.20%	5	195	15.80%
SPY250820C00630000	8/15/2025 11:56 AM	630	14.66	13.60	13.89	-0.78	-5.05%	33	143	15.32%
SPY250820C00631000	8/15/2025 3:47 PM	631	13.53	12.66	12.94	-1.07	-7.33%	3	63	14.89%
SPY250820C00632000	8/15/2025 12:21 PM	632	12.03	11.71	11.99	-0.69	-5.42%	15	86	14.39%
SPY250820C00633000	8/15/2025 4:01 PM	633	10.87	10.78	11.06	-2.34	-17.71%	64	109	13.99%
SPY250820C00634000	8/15/2025 4:13 PM	634	9.96	9.87	10.14	-1.84	-15.59%	41	118	13.58%
SPY250820C00635000	8/15/2025 4:02 PM	635	9.05	8.97	9.24	-2.54	-21.92%	57	323	13.20%
SPY250820C00636000	8/15/2025 4:13 PM	636	8.15	8.13	8.34	-2.45	-23.11%	58	350	12.73%
SPY250820C00637000	8/15/2025 4:06 PM	637	7.20	7.26	7.49	-2.72	-27.42%	131	395	12.43%
SPY250820C00638000	8/15/2025 4:08 PM	638	6.32	6.42	6.66	-2.45	-27.94%	57	746	12.10%
SPY250820C00639000	8/15/2025 4:03 PM	639	5.47	5.63	5.84	-2.52	-31.54%	365	308	11.70%
SPY250820C00640000	8/15/2025 4:11 PM	640	4.80	4.92	5.09	-1.73	-26.49%	866	521	11.44%
SPY250820C00641000	8/15/2025 4:14 PM	641	4.21	4.20	4.34	-1.47	-25.88%	510	393	11.04%
SPY250820C00642000	8/15/2025 4:14 PM	642	3.53	3.52	3.58	-1.54	-30.37%	692	484	10.44%
SPY250820C00643000	8/15/2025 4:14 PM	643	2.90	2.91	2.97	-1.46	-33.49%	3,401	686	10.22%
SPY250820C00644000	8/15/2025 4:14 PM	644	2.35	2.34	2.40	-1.17	-33.24%	5,798	1,099	9.93%
SPY250820C00645000	8/15/2025 4:14 PM	645	1.86	1.84	1.87	-1.16	-38.41%	7,968	1,454	9.57%
SPY250820C00646000	8/15/2025 4:14 PM	646	1.43	1.40	1.43	-1.16	-44.79%	6,499	1,865	9.30%
SPY250820C00647000	8/15/2025 4:13 PM	647	1.03	1.04	1.07	-0.98	-48.76%	3,584	769	9.09%
SPY250820C00648000	8/15/2025 4:14 PM	648	0.74	0.74	0.76	-0.86	-53.75%	3,249	1,060	8.81%
SPY250820C00649000	8/15/2025 4:13 PM	649	0.53	0.51	0.53	-0.73	-57.94%	3,557	972	8.62%
SPY250820C00650000	8/15/2025 4:14 PM	650	0.34	0.34	0.36	-0.59	-63.44%	7,094	3,703	8.47%
SPY250820C00651000	8/15/2025 4:14 PM	651	0.23	0.22	0.24	-0.47	-67.14%	1,648	998	8.36%
SPY250820C00652000	8/15/2025 4:14 PM	652	0.14	0.14	0.15	-0.37	-72.55%	5,675	652	8.20%
SPY250820C00653000	8/15/2025 4:14 PM	653	0.09	0.09	0.10	-0.29	-76.32%	809	526	8.25%
SPY250820C00654000	8/15/2025 4:14 PM	654	0.06	0.05	0.06	-0.22	-78.57%	1,718	995	8.16%
SPY250820C00655000	8/15/2025 4:09 PM	655	0.04	0.03	0.04	-0.13	-76.47%	809	999	8.25%
SPY250820C00656000	8/15/2025 4:14 PM	656	0.03	0.02	0.03	-0.11	-78.57%	504	1,124	8.50%
SPY250820C00657000	8/15/2025 4:13 PM	657	0.02	0.01	0.02	-0.10	-83.33%	226	1,083	8.59%
SPY250820C00658000	8/15/2025 3:02 PM	658	0.02	0.01	0.02	-0.06	-75.00%	53	251	9.08%
SPY250820C00659000	8/15/2025 4:13 PM	659	0.01	0.01	0.02	-0.05	-83.33%	826	626	9.67%
SPY250820C00660000	8/15/2025 4:05 PM	660	0.01	0.01	0.02	-0.03	-75.00%	216	744	10.16%
SPY250820C00665000	8/15/2025 4:02 PM	665	0.01	0.00	0.01	-0.01	-50.00%	46	240	11.91%
SPY250820C00670000	8/15/2025 1:15 PM	670	0.01	0.00	0.01	-0.01	-50.00%	31	1,743	14.26%
SPY250820C00685000	8/14/2025 3:56 PM	685	0.01	0.00	0.01	0.00	0.00%	1	192	21.09%
SPY250820C00690000	8/15/2025 10:28 AM	690	0.01	0.00	0.01	-0.01	-50.00%	3	128	23.44%
SPY250820C00695000	8/15/2025 11:16 AM	695	0.01	0.00	0.01	0.00	0.00%	8	3,011	25.39%
SPY250821C00600000	8/15/2025 3:10 PM	600	44.26	42.15	44.95	2.36	5.63%	2	9	45.85%
SPY250821C00605000	8/13/2025 10:12 AM	605	40.71	37.16	39.97	-0.13	-0.32%	1	32	41.91%
SPY250821C00610000	8/7/2025 1:19 PM	610	23.33	32.18	34.98	0.00	0.00%	-	1	37.83%
SPY250821C00615000	8/13/2025 11:32 AM	615	28.90	27.21	30.01	-0.70	-2.36%	1	17	33.81%
SPY250821C00620000	8/15/2025 3:44 PM	620	24.38	22.26	25.06	-0.72	-2.87%	3	14	29.79%
SPY250821C00623000	8/14/2025 9:54 AM	623	21.78	19.92	21.82	0.00	0.00%	1	2	25.71%
SPY250821C00624000	8/14/2025 3:40 PM	624	21.91	18.80	20.79	0.00	0.00%	1	6	24.66%
SPY250821C00625000	8/15/2025 2:54 PM	625	19.95	18.61	18.92	-1.35	-6.34%	3	27	17.71%
SPY250821C00627000	8/15/2025 3:13 PM	627	17.54	16.68	16.99	-1.85	-9.54%	1	53	16.80%
SPY250821C00628000	8/14/2025 10:59 AM	628	17.78	15.72	16.03	0.00	0.00%	15	18	16.33%
SPY250821C00629000	8/12/2025 11:57 AM	629	17.28	14.76	15.07	3.18	22.55%	1	6	15.85%
SPY250821C00630000	8/15/2025 3:12 PM	630	14.72	13.81	14.13	-1.85	-11.16%	5	135	15.44%
SPY250821C00631000	8/15/2025 9:40 AM	631	15.10	12.88	13.20	-0.17	-1.11%	1	13	15.06%
SPY250821C00632000	8/15/2025 10:16 AM	632	12.93	11.96	12.26	-0.56	-4.15%	3	7	14.56%
SPY250821C00633000	8/15/2025 11:18 AM	633	12.11	11.05	11.37	-0.45	-3.58%	1	51	14.30%
SPY250821C00634000	8/15/2025 12:18 PM	634	10.54	10.18	10.48	-2.10	-16.61%	11	54	13.96%
SPY250821C00635000	8/15/2025 2:52 PM	635	9.48	9.32	9.60	-2.19	-18.77%	10	214	13.59%
SPY250821C00636000	8/15/2025 4:14 PM	636	8.54	8.45	8.72	-2.29	-21.14%	31	185	13.15%
SPY250821C00637000	8/15/2025 4:03 PM	637	7.48	7.63	7.88	-2.22	-22.89%	25	135	12.81%
SPY250821C00638000	8/15/2025 4:05 PM	638	6.80	6.83	7.06	-1.71	-20.09%	79	386	12.45%
SPY250821C00639000	8/15/2025 3:33 PM	639	6.59	6.11	6.26	-1.40	-17.52%	19	418	12.07%
SPY250821C00640000	8/15/2025 4:02 PM	640	5.35	5.36	5.50	-1.56	-22.58%	144	418	11.73%
SPY250821C00641000	8/15/2025 4:14 PM	641	4.68	4.66	4.80	-1.36	-22.52%	109	191	11.48%
SPY250821C00642000	8/15/2025 4:10 PM	642	3.87	3.99	4.07	-1.56	-28.73%	319	691	10.99%
SPY250821C00643000	8/15/2025 4:09 PM	643	3.32	3.37	3.45	-1.31	-28.29%	903	400	10.74%
SPY250821C00644000	8/15/2025 4:14 PM	644	2.80	2.80	2.85	-1.31	-31.87%	3,832	832	10.38%
SPY250821C00645000	8/15/2025 4:13 PM	645	2.28	2.28	2.32	-1.13	-33.14%	6,485	3,938	10.10%
SPY250821C00646000	8/15/2025 4:14 PM	646	1.83	1.82	1.85	-1.03	-36.01%	1,387	497	9.82%
SPY250821C00647000	8/15/2025 4:13 PM	647	1.42	1.42	1.45	-1.03	-42.04%	1,329	382	9.58%
SPY250821C00648000	8/15/2025 4:12 PM	648	1.06	1.08	1.11	-0.87	-45.08%	927	334	9.36%
SPY250821C00649000	8/15/2025 4:12 PM	649	0.80	0.80	0.82	-0.81	-50.31%	1,117	540	9.12%
SPY250821C00650000	8/15/2025 4:14 PM	650	0.59	0.57	0.59	-0.62	-51.24%	2,187	1,041	8.90%
SPY250821C00651000	8/15/2025 4:12 PM	651	0.41	0.40	0.42	-0.59	-59.00%	299	347	8.75%
SPY250821C00652000	8/15/2025 4:12 PM	652	0.28	0.27	0.29	-0.57	-67.06%	391	475	8.61%
SPY250821C00653000	8/15/2025 4:07 PM	653	0.18	0.18	0.20	-0.39	-68.42%	252	202	8.53%
SPY250821C00654000	8/15/2025 4:12 PM	654	0.12	0.11	0.12	-0.29	-70.73%	762	440	8.28%
SPY250821C00655000	8/15/2025 4:04 PM	655	0.08	0.07	0.09	-0.21	-72.41%	609	489	8.42%
SPY250821C00656000	8/15/2025 4:01 PM	656	0.05	0.04	0.06	-0.17	-77.27%	305	1,245	8.40%
SPY250821C00657000	8/15/2025 3:49 PM	657	0.04	0.03	0.04	-0.14	-77.78%	419	485	8.45%
SPY250821C00658000	8/15/2025 4:11 PM	658	0.03	0.02	0.03	-0.08	-72.73%	924	1,553	8.59%
SPY250821C00659000	8/15/2025 4:12 PM	659	0.02	0.01	0.02	-0.07	-77.78%	210	434	8.59%
SPY250821C00660000	8/15/2025 4:09 PM	660	0.02	0.01	0.02	-0.03	-60.00%	315	451	9.08%
SPY250821C00665000	8/15/2025 3:00 PM	665	0.01	0.00	0.01	-0.01	-50.00%	45	45	10.55%
SPY250821C00670000	8/15/2025 12:07 PM	670	0.01	0.00	0.01	-0.01	-50.00%	8	53	12.70%
SPY250821C00675000	8/15/2025 9:34 AM	675	0.01	0.00	0.01	-0.01	-50.00%	164	3	14.84%
SPY250821C00695000	8/11/2025 2:34 PM	695	0.01	0.00	0.01	0.00	0.00%	164	165	22.66%
SPY250822C00410000	8/7/2025 12:55 PM	410	222.52	232.10	234.91	0.00	0.00%	4	4	125.78%
SPY250822C00420000	8/8/2025 1:57 PM	420	217.95	222.11	224.92	0.00	0.00%	4	4	121.29%
SPY250822C00445000	7/29/2025 2:16 PM	445	192.18	197.14	199.94	0.00	0.00%	-	1	109.38%
SPY250822C00465000	8/12/2025 11:43 AM	465	176.55	177.16	179.96	0.00	0.00%	11	11	99.41%
SPY250822C00470000	7/29/2025 2:45 PM	470	167.26	172.16	174.97	0.00	0.00%	1	1	96.88%
SPY250822C00475000	7/23/2025 9:50 AM	475	157.37	167.17	169.97	0.00	0.00%	2	1	94.34%
SPY250822C00480000	8/8/2025 12:17 PM	480	158.13	162.18	164.98	0.00	0.00%	1,284	1,278	92.19%
SPY250822C00485000	7/28/2025 11:29 AM	485	153.88	157.18	159.98	0.00	0.00%	2	3	89.16%
SPY250822C00490000	8/8/2025 12:59 PM	490	147.51	152.19	154.99	0.00	0.00%	2	3	86.91%
SPY250822C00495000	8/8/2025 12:18 PM	495	143.08	147.19	150.00	0.00	0.00%	2	2	84.38%
SPY250822C00500000	8/15/2025 3:48 PM	500	144.40	142.20	145.00	6.32	4.58%	1	27	81.84%
